texte,titre,auteur
"“Cheshire Puss,” she began, rather timidly, as she did not at all knowwhether it would like the name: however, it only grinned a littlewider. “Come, it’s pleased so far,” thought Alice, and she went on.“Would you tell me, please, which way I ought to go from here?” “That depends a good deal on where you want to get to,” said the Cat. “I don’t much care where—” said Alice. “Then it doesn’t matter which way you go,” said the Cat. “—so long as I get _somewhere_,” Alice added as an explanation. “Oh, you’re sure to do that,” said the Cat, “if you only walk longenough.” Alice felt that this could not be denied, so she tried anotherquestion. “What sort of people live about here?” “In _that_ direction,” the Cat said, waving its right paw round, “livesa Hatter: and in _that_ direction,” waving the other paw, “lives aMarch Hare. Visit either you like: they’re both mad.” “But I don’t want to go among mad people,” Alice remarked. “Oh, you can’t help that,” said the Cat: “we’re all mad here. I’m mad.You’re mad.” ",Alice's Adventures in Wonderland,Lewis Carroll
"   CHAPTER VI.Pig and Pepper  For a minute or two she stood looking at the house, and wondering whatto do next, when suddenly a footman in livery came running out of thewood—(she considered him to be a footman because he was in livery:otherwise, judging by his face only, she would have called him afish)—and rapped loudly at the door with his knuckles. It was opened byanother footman in livery, with a round face, and large eyes like afrog; and both footmen, Alice noticed, had powdered hair that curledall over their heads. She felt very curious to know what it was allabout, and crept a little way out of the wood to listen. The Fish-Footman began by producing from under his arm a great letter,nearly as large as himself, and this he handed over to the other,saying, in a solemn tone, “For the Duchess. An invitation from theQueen to play croquet.” The Frog-Footman repeated, in the same solemntone, only changing the order of the words a little, “From the Queen.An invitation for the Duchess to play croquet.” ",Alice's Adventures in Wonderland,Lewis Carroll
"“Why did you call him Tortoise, if he wasn’t one?” Alice asked. “We called him Tortoise because he taught us,” said the Mock Turtleangrily: “really you are very dull!” “You ought to be ashamed of yourself for asking such a simplequestion,” added the Gryphon; and then they both sat silent and lookedat poor Alice, who felt ready to sink into the earth. At last theGryphon said to the Mock Turtle, “Drive on, old fellow! Don’t be allday about it!” and he went on in these words: “Yes, we went to school in the sea, though you mayn’t believe it—” “I never said I didn’t!” interrupted Alice. “You did,” said the Mock Turtle. “Hold your tongue!” added the Gryphon, before Alice could speak again.The Mock Turtle went on. “We had the best of educations—in fact, we went to school every day—” “_I’ve_ been to a day-school, too,” said Alice; “you needn’t be soproud as all that.” “With extras?” asked the Mock Turtle a little anxiously. “Yes,” said Alice, “we learned French and music.” “And washing?” said the Mock Turtle. ",Alice's Adventures in Wonderland,Lewis Carroll
"It was high time to go, for the pool was getting quite crowded with thebirds and animals that had fallen into it: there were a Duck and aDodo, a Lory and an Eaglet, and several other curious creatures. Aliceled the way, and the whole party swam to the shore.    CHAPTER III.A Caucus-Race and a Long Tale  They were indeed a queer-looking party that assembled on the bank—thebirds with draggled feathers, the animals with their fur clinging closeto them, and all dripping wet, cross, and uncomfortable. The first question of course was, how to get dry again: they had aconsultation about this, and after a few minutes it seemed quitenatural to Alice to find herself talking familiarly with them, as ifshe had known them all her life. Indeed, she had quite a long argumentwith the Lory, who at last turned sulky, and would only say, “I amolder than you, and must know better;” and this Alice would not allowwithout knowing how old it was, and, as the Lory positively refused totell its age, there was no more to be said. ",Alice's Adventures in Wonderland,Lewis Carroll
"         “Fury said to a mouse, That he met in the house, ‘Let us both         go to law: _I_ will prosecute _you_.—Come, I’ll take no         denial; We must have a trial: For really this morning I’ve         nothing to do.’ Said the mouse to the cur, ‘Such a trial, dear         sir, With no jury or judge, would be wasting our breath.’         ‘I’ll be judge, I’ll be jury,’ Said cunning old Fury: ‘I’ll         try the whole cause, and condemn you to death.’” “You are not attending!” said the Mouse to Alice severely. “What areyou thinking of?” “I beg your pardon,” said Alice very humbly: “you had got to the fifthbend, I think?” “I had _not!_” cried the Mouse, sharply and very angrily. “A knot!” said Alice, always ready to make herself useful, and lookinganxiously about her. “Oh, do let me help to undo it!” “I shall do nothing of the sort,” said the Mouse, getting up andwalking away. “You insult me by talking such nonsense!” “I didn’t mean it!” pleaded poor Alice. “But you’re so easily offended,you know!” ",Alice's Adventures in Wonderland,Lewis Carroll
"“Go on with the next verse,” the Gryphon repeated impatiently: “itbegins ‘_I passed by his garden_.’” Alice did not dare to disobey, though she felt sure it would all comewrong, and she went on in a trembling voice:— “I passed by his garden, and marked, with one eye,How the Owl and the Panther were sharing a pie—” [later editions continued as followsThe Panther took pie-crust, and gravy, and meat,While the Owl had the dish as its share of the treat.When the pie was all finished, the Owl, as a boon,Was kindly permitted to pocket the spoon:While the Panther received knife and fork with a growl,And concluded the banquet—]  “What _is_ the use of repeating all that stuff,” the Mock Turtleinterrupted, “if you don’t explain it as you go on? It’s by far themost confusing thing _I_ ever heard!” “Yes, I think you’d better leave off,” said the Gryphon: and Alice wasonly too glad to do so. “Shall we try another figure of the Lobster Quadrille?” the Gryphonwent on. “Or would you like the Mock Turtle to sing you a song?” ",Alice's Adventures in Wonderland,Lewis Carroll
"“What I was going to say,” said the Dodo in an offended tone, “was,that the best thing to get us dry would be a Caucus-race.” “What _is_ a Caucus-race?” said Alice; not that she wanted much toknow, but the Dodo had paused as if it thought that _somebody_ ought tospeak, and no one else seemed inclined to say anything. “Why,” said the Dodo, “the best way to explain it is to do it.” (And,as you might like to try the thing yourself, some winter day, I willtell you how the Dodo managed it.) First it marked out a race-course, in a sort of circle, (“the exactshape doesn’t matter,” it said,) and then all the party were placedalong the course, here and there. There was no “One, two, three, andaway,” but they began running when they liked, and left off when theyliked, so that it was not easy to know when the race was over. However,when they had been running half an hour or so, and were quite dryagain, the Dodo suddenly called out “The race is over!” and they allcrowded round it, panting, and asking, “But who has won?” ",Alice's Adventures in Wonderland,Lewis Carroll
"And she went on planning to herself how she would manage it. “They mustgo by the carrier,” she thought; “and how funny it’ll seem, sendingpresents to one’s own feet! And how odd the directions will look!      _Alice’s Right Foot, Esq., Hearthrug, near the Fender,_ (_with     Alice’s love_). Oh dear, what nonsense I’m talking!” Just then her head struck against the roof of the hall: in fact she wasnow more than nine feet high, and she at once took up the little goldenkey and hurried off to the garden door. Poor Alice! It was as much as she could do, lying down on one side, tolook through into the garden with one eye; but to get through was morehopeless than ever: she sat down and began to cry again. “You ought to be ashamed of yourself,” said Alice, “a great girl likeyou,” (she might well say this), “to go on crying in this way! Stopthis moment, I tell you!” But she went on all the same, sheddinggallons of tears, until there was a large pool all round her, aboutfour inches deep and reaching half down the hall. ",Alice's Adventures in Wonderland,Lewis Carroll
"“Come, there’s no use in crying like that!” said Alice to herself,rather sharply; “I advise you to leave off this minute!” She generallygave herself very good advice, (though she very seldom followed it),and sometimes she scolded herself so severely as to bring tears intoher eyes; and once she remembered trying to box her own ears for havingcheated herself in a game of croquet she was playing against herself,for this curious child was very fond of pretending to be two people.“But it’s no use now,” thought poor Alice, “to pretend to be twopeople! Why, there’s hardly enough of me left to make _one_ respectableperson!” Soon her eye fell on a little glass box that was lying under the table:she opened it, and found in it a very small cake, on which the words“EAT ME” were beautifully marked in currants. “Well, I’ll eat it,” saidAlice, “and if it makes me grow larger, I can reach the key; and if itmakes me grow smaller, I can creep under the door; so either way I’llget into the garden, and I don’t care which happens!” ",Alice's Adventures in Wonderland,Lewis Carroll
"“If everybody minded their own business,” the Duchess said in a hoarsegrowl, “the world would go round a deal faster than it does.” “Which would _not_ be an advantage,” said Alice, who felt very glad toget an opportunity of showing off a little of her knowledge. “Justthink of what work it would make with the day and night! You see theearth takes twenty-four hours to turn round on its axis—” “Talking of axes,” said the Duchess, “chop off her head!” Alice glanced rather anxiously at the cook, to see if she meant to takethe hint; but the cook was busily stirring the soup, and seemed not tobe listening, so she went on again: “Twenty-four hours, I _think_; oris it twelve? I—” “Oh, don’t bother _me_,” said the Duchess; “I never could abidefigures!” And with that she began nursing her child again, singing asort of lullaby to it as she did so, and giving it a violent shake atthe end of every line: “Speak roughly to your little boy,    And beat him when he sneezes:He only does it to annoy,    Because he knows it teases.” ",Alice's Adventures in Wonderland,Lewis Carroll
"   CHAPTER VII.A Mad Tea-Party  There was a table set out under a tree in front of the house, and theMarch Hare and the Hatter were having tea at it: a Dormouse was sittingbetween them, fast asleep, and the other two were using it as acushion, resting their elbows on it, and talking over its head. “Veryuncomfortable for the Dormouse,” thought Alice; “only, as it’s asleep,I suppose it doesn’t mind.” The table was a large one, but the three were all crowded together atone corner of it: “No room! No room!” they cried out when they sawAlice coming. “There’s _plenty_ of room!” said Alice indignantly, andshe sat down in a large arm-chair at one end of the table. “Have some wine,” the March Hare said in an encouraging tone. Alice looked all round the table, but there was nothing on it but tea.“I don’t see any wine,” she remarked. “There isn’t any,” said the March Hare. “Then it wasn’t very civil of you to offer it,” said Alice angrily. “It wasn’t very civil of you to sit down without being invited,” saidthe March Hare. ",Alice's Adventures in Wonderland,Lewis Carroll
"Alice had been looking over his shoulder with some curiosity. “What afunny watch!” she remarked. “It tells the day of the month, and doesn’ttell what o’clock it is!” “Why should it?” muttered the Hatter. “Does _your_ watch tell you whatyear it is?” “Of course not,” Alice replied very readily: “but that’s because itstays the same year for such a long time together.” “Which is just the case with _mine_,” said the Hatter. Alice felt dreadfully puzzled, The Hatter’s remark seemed to have nosort of meaning in it, and yet it was certainly English. “I don’t quiteunderstand you,” she said, as politely as she could. “The Dormouse is asleep again,” said the Hatter, and he poured a littlehot tea upon its nose. The Dormouse shook its head impatiently, and said, without opening itseyes, “Of course, of course; just what I was going to remark myself.” “Have you guessed the riddle yet?” the Hatter said, turning to Aliceagain. “No, I give it up,” Alice replied: “what’s the answer?” “I haven’t the slightest idea,” said the Hatter. ",Alice's Adventures in Wonderland,Lewis Carroll
"“Perhaps it hasn’t one,” Alice ventured to remark. “Tut, tut, child!” said the Duchess. “Everything’s got a moral, if onlyyou can find it.” And she squeezed herself up closer to Alice’s side asshe spoke. Alice did not much like keeping so close to her: first, because theDuchess was _very_ ugly; and secondly, because she was exactly theright height to rest her chin upon Alice’s shoulder, and it was anuncomfortably sharp chin. However, she did not like to be rude, so shebore it as well as she could. “The game’s going on rather better now,” she said, by way of keeping upthe conversation a little. “’Tis so,” said the Duchess: “and the moral of that is—‘Oh, ’tis love,’tis love, that makes the world go round!’” “Somebody said,” Alice whispered, “that it’s done by everybody mindingtheir own business!” “Ah, well! It means much the same thing,” said the Duchess, digging hersharp little chin into Alice’s shoulder as she added, “and the moral of_that_ is—‘Take care of the sense, and the sounds will take care ofthemselves.’” ",Alice's Adventures in Wonderland,Lewis Carroll
"When the procession came opposite to Alice, they all stopped and lookedat her, and the Queen said severely “Who is this?” She said it to theKnave of Hearts, who only bowed and smiled in reply. “Idiot!” said the Queen, tossing her head impatiently; and, turning toAlice, she went on, “What’s your name, child?” “My name is Alice, so please your Majesty,” said Alice very politely;but she added, to herself, “Why, they’re only a pack of cards, afterall. I needn’t be afraid of them!” “And who are _these?_” said the Queen, pointing to the three gardenerswho were lying round the rose-tree; for, you see, as they were lying ontheir faces, and the pattern on their backs was the same as the rest ofthe pack, she could not tell whether they were gardeners, or soldiers,or courtiers, or three of her own children. “How should _I_ know?” said Alice, surprised at her own courage. “It’sno business of _mine_.” The Queen turned crimson with fury, and, after glaring at her for amoment like a wild beast, screamed “Off with her head! Off—” ",Alice's Adventures in Wonderland,Lewis Carroll
"This question the Dodo could not answer without a great deal ofthought, and it sat for a long time with one finger pressed upon itsforehead (the position in which you usually see Shakespeare, in thepictures of him), while the rest waited in silence. At last the Dodosaid, “_Everybody_ has won, and all must have prizes.” “But who is to give the prizes?” quite a chorus of voices asked. “Why, _she_, of course,” said the Dodo, pointing to Alice with onefinger; and the whole party at once crowded round her, calling out in aconfused way, “Prizes! Prizes!” Alice had no idea what to do, and in despair she put her hand in herpocket, and pulled out a box of comfits, (luckily the salt water hadnot got into it), and handed them round as prizes. There was exactlyone a-piece, all round. “But she must have a prize herself, you know,” said the Mouse. “Of course,” the Dodo replied very gravely. “What else have you got inyour pocket?” he went on, turning to Alice. “Only a thimble,” said Alice sadly. “Hand it over here,” said the Dodo. ",Alice's Adventures in Wonderland,Lewis Carroll
"“Are they in the prisoner’s handwriting?” asked another of the jurymen. “No, they’re not,” said the White Rabbit, “and that’s the queerestthing about it.” (The jury all looked puzzled.) “He must have imitated somebody else’s hand,” said the King. (The juryall brightened up again.) “Please your Majesty,” said the Knave, “I didn’t write it, and theycan’t prove I did: there’s no name signed at the end.” “If you didn’t sign it,” said the King, “that only makes the matterworse. You _must_ have meant some mischief, or else you’d have signedyour name like an honest man.” There was a general clapping of hands at this: it was the first reallyclever thing the King had said that day. “That _proves_ his guilt,” said the Queen. “It proves nothing of the sort!” said Alice. “Why, you don’t even knowwhat they’re about!” “Read them,” said the King. The White Rabbit put on his spectacles. “Where shall I begin, pleaseyour Majesty?” he asked. “Begin at the beginning,” the King said gravely, “and go on till youcome to the end: then stop.” ",Alice's Adventures in Wonderland,Lewis Carroll
"“Keep your temper,” said the Caterpillar. “Is that all?” said Alice, swallowing down her anger as well as shecould. “No,” said the Caterpillar. Alice thought she might as well wait, as she had nothing else to do,and perhaps after all it might tell her something worth hearing. Forsome minutes it puffed away without speaking, but at last it unfoldedits arms, took the hookah out of its mouth again, and said, “So youthink you’re changed, do you?” “I’m afraid I am, sir,” said Alice; “I can’t remember things as Iused—and I don’t keep the same size for ten minutes together!” “Can’t remember _what_ things?” said the Caterpillar. “Well, I’ve tried to say “How doth the little busy bee,” but it allcame different!” Alice replied in a very melancholy voice. “Repeat, ‘_You are old, Father William_,’” said the Caterpillar. Alice folded her hands, and began:— “You are old, Father William,” the young man said,    “And your hair has become very white;And yet you incessantly stand on your head—    Do you think, at your age, it is right?” ",Alice's Adventures in Wonderland,Lewis Carroll
"“And ever since that,” the Hatter went on in a mournful tone, “he won’tdo a thing I ask! It’s always six o’clock now.” A bright idea came into Alice’s head. “Is that the reason so manytea-things are put out here?” she asked. “Yes, that’s it,” said the Hatter with a sigh: “it’s always tea-time,and we’ve no time to wash the things between whiles.” “Then you keep moving round, I suppose?” said Alice. “Exactly so,” said the Hatter: “as the things get used up.” “But what happens when you come to the beginning again?” Alice venturedto ask. “Suppose we change the subject,” the March Hare interrupted, yawning.“I’m getting tired of this. I vote the young lady tells us a story.” “I’m afraid I don’t know one,” said Alice, rather alarmed at theproposal. “Then the Dormouse shall!” they both cried. “Wake up, Dormouse!” Andthey pinched it on both sides at once. The Dormouse slowly opened his eyes. “I wasn’t asleep,” he said in ahoarse, feeble voice: “I heard every word you fellows were saying.” “Tell us a story!” said the March Hare. ",Alice's Adventures in Wonderland,Lewis Carroll
"“Herald, read the accusation!” said the King. On this the White Rabbit blew three blasts on the trumpet, and thenunrolled the parchment scroll, and read as follows:— “The Queen of Hearts, she made some tarts,    All on a summer day:The Knave of Hearts, he stole those tarts,    And took them quite away!”  “Consider your verdict,” the King said to the jury. “Not yet, not yet!” the Rabbit hastily interrupted. “There’s a greatdeal to come before that!” “Call the first witness,” said the King; and the White Rabbit blewthree blasts on the trumpet, and called out, “First witness!” The first witness was the Hatter. He came in with a teacup in one handand a piece of bread-and-butter in the other. “I beg pardon, yourMajesty,” he began, “for bringing these in: but I hadn’t quite finishedmy tea when I was sent for.” “You ought to have finished,” said the King. “When did you begin?” The Hatter looked at the March Hare, who had followed him into thecourt, arm-in-arm with the Dormouse. “Fourteenth of March, I _think_ itwas,” he said. ",Alice's Adventures in Wonderland,Lewis Carroll
"It was all very well to say “Drink me,” but the wise little Alice wasnot going to do _that_ in a hurry. “No, I’ll look first,” she said,“and see whether it’s marked ‘_poison_’ or not”; for she had readseveral nice little histories about children who had got burnt, andeaten up by wild beasts and other unpleasant things, all because they_would_ not remember the simple rules their friends had taught them:such as, that a red-hot poker will burn you if you hold it too long;and that if you cut your finger _very_ deeply with a knife, it usuallybleeds; and she had never forgotten that, if you drink much from abottle marked “poison,” it is almost certain to disagree with you,sooner or later. However, this bottle was _not_ marked “poison,” so Alice ventured totaste it, and finding it very nice, (it had, in fact, a sort of mixedflavour of cherry-tart, custard, pine-apple, roast turkey, toffee, andhot buttered toast,) she very soon finished it off. *      *      *      *      *      *      *     *      *      *      *      *      * ",Alice's Adventures in Wonderland,Lewis Carroll
"Alice was just beginning to think to herself, “Now, what am I to dowith this creature when I get it home?” when it grunted again, soviolently, that she looked down into its face in some alarm. This timethere could be _no_ mistake about it: it was neither more nor less thana pig, and she felt that it would be quite absurd for her to carry itfurther. So she set the little creature down, and felt quite relieved to see ittrot away quietly into the wood. “If it had grown up,” she said toherself, “it would have made a dreadfully ugly child: but it makesrather a handsome pig, I think.” And she began thinking over otherchildren she knew, who might do very well as pigs, and was just sayingto herself, “if one only knew the right way to change them—” when shewas a little startled by seeing the Cheshire Cat sitting on a bough ofa tree a few yards off. The Cat only grinned when it saw Alice. It looked good-natured, shethought: still it had _very_ long claws and a great many teeth, so shefelt that it ought to be treated with respect. ",Alice's Adventures in Wonderland,Lewis Carroll
"“Found _what_?” said the Duck. “Found _it_,” the Mouse replied rather crossly: “of course you knowwhat ‘it’ means.” “I know what ‘it’ means well enough, when _I_ find a thing,” said theDuck: “it’s generally a frog or a worm. The question is, what did thearchbishop find?” The Mouse did not notice this question, but hurriedly went on, “‘—foundit advisable to go with Edgar Atheling to meet William and offer himthe crown. William’s conduct at first was moderate. But the insolenceof his Normans—’ How are you getting on now, my dear?” it continued,turning to Alice as it spoke. “As wet as ever,” said Alice in a melancholy tone: “it doesn’t seem todry me at all.” “In that case,” said the Dodo solemnly, rising to its feet, “I movethat the meeting adjourn, for the immediate adoption of more energeticremedies—” “Speak English!” said the Eaglet. “I don’t know the meaning of halfthose long words, and, what’s more, I don’t believe you do either!” Andthe Eaglet bent down its head to hide a smile: some of the other birdstittered audibly. ",Alice's Adventures in Wonderland,Lewis Carroll
"All the time they were playing the Queen never left off quarrellingwith the other players, and shouting “Off with his head!” or “Off withher head!” Those whom she sentenced were taken into custody by thesoldiers, who of course had to leave off being arches to do this, sothat by the end of half an hour or so there were no arches left, andall the players, except the King, the Queen, and Alice, were in custodyand under sentence of execution. Then the Queen left off, quite out of breath, and said to Alice, “Haveyou seen the Mock Turtle yet?” “No,” said Alice. “I don’t even know what a Mock Turtle is.” “It’s the thing Mock Turtle Soup is made from,” said the Queen. “I never saw one, or heard of one,” said Alice. “Come on, then,” said the Queen, “and he shall tell you his history.” As they walked off together, Alice heard the King say in a low voice,to the company generally, “You are all pardoned.” “Come, _that’s_ agood thing!” she said to herself, for she had felt quite unhappy at thenumber of executions the Queen had ordered. ",Alice's Adventures in Wonderland,Lewis Carroll
"“What do you know about this business?” the King said to Alice. “Nothing,” said Alice. “Nothing _whatever?_” persisted the King. “Nothing whatever,” said Alice. “That’s very important,” the King said, turning to the jury. They werejust beginning to write this down on their slates, when the WhiteRabbit interrupted: “_Un_important, your Majesty means, of course,” hesaid in a very respectful tone, but frowning and making faces at him ashe spoke. “_Un_important, of course, I meant,” the King hastily said, and went onto himself in an undertone, “important—unimportant—unimportant—important—” as if he were tryingwhich word sounded best. Some of the jury wrote it down “important,” and some “unimportant.”Alice could see this, as she was near enough to look over their slates;“but it doesn’t matter a bit,” she thought to herself. At this moment the King, who had been for some time busily writing inhis note-book, cackled out “Silence!” and read out from his book, “RuleForty-two. _All persons more than a mile high to leave the court_.” ",Alice's Adventures in Wonderland,Lewis Carroll
